id;name;priceDate;price;isBudgetBrand;quantity;unit;isWeighted;isBio;isAvailable
5701477939217;Pp Proteinbar Caramel/Rum, 55 GR / Tyskland;2025-05-31;24.95;false;55;g;false;false;true
5744001104668;Meyers Appelsinmarmela Øko, 280 GR / Danmark;2025-11-12;24.61;false;280;g;false;true;true
7311311022777;S.M. TORTILLA CARROT, 240 GR / England;2024-02-10;10.0;false;240;g;false;false;true
7594003620059;Diplomatico Reserva 40%, 70 CL / Venezuela;2025-11-02;279.95;false;700;ml;false;false;true
8713339151559;HN CANNA GREENLEAVES, 1 ST / Holland;2024-06-02;22.48;false;1;stk;false;false;true
5711018000023;Harboe Hindbærbrus 6-Pak, 300 CL / Danmark;2025-10-15;24.71;false;3000;ml;false;false;true
7340001804751;Barebells Pr Bar Carm/Pean, 55 GR / Østrig;2025-11-09;15.0;false;55;g;false;false;true
5701477939200;Pp Proteinbar Orange Knas, 55 GR / Tyskland;2025-01-19;24.95;false;55;g;false;false;true
5705010083764;Valsø Vitamin Jord+Hindbær, 500 ML / Danmark;2025-11-12;12.0;false;500;ml;false;false;true
5701410409036;Gb Hvedemel Øko, 2 KG / Danmark;2025-11-14;18.0;false;2000;g;false;true;true
7311311016080;S.M. Karry, 34 GR / Sverige;2025-11-10;14.0;false;34;g;false;false;true
5707196315660;DGS KØDPØLSE M/KALKUNBACON, 100 GR / Tyskland;2024-02-24;18.5;false;100;g;false;false;true
7340083490019;Fixa Opvasketabs 5I1, 40 ST / Italien;2025-11-01;37.58;false;40;stk;false;false;true
5701410403744;Gestus Mikropopcorn 3Pk, 255 GR / Frankrig;2025-10-13;22.95;false;255;g;false;false;true
7312360063438;Weibulls Pragt Ridderspore, 1 St / Sverige;2024-06-09;19.98;false;1;stk;false;false;true
7048351691112;Lysholmer Linie Akv. 41,5, 70 CL / Norge;2025-11-14;139.95;false;700;ml;false;false;true
4014071692718;ØKO BANANER,  _ / ;2024-01-10;13.09;false;1;;false;true;true
3467231420699;Ch Castillon Bandol Rosä, 75 CL / Frankrig;2025-09-03;127.46;false;750;ml;false;false;true
5201671802466;Gaea Kalam Oliven U/Sten, 150 GR / Grækenland;2025-09-27;25.0;false;150;g;false;false;true
8033040312620;Dolcetto Di Perno 21 13,5, 75 CL / Italien;2025-08-07;175.0;false;750;ml;false;false;true
7311041080092;Fp Baguettes 2 Stk., 300 GR / Frankrig;2025-10-14;6.5;false;300;g;false;false;true
5701410411343;Gestus Popselv Uden Olie, 500 GR / Sydafrika;2025-10-01;16.95;false;500;g;false;false;true
7311041088814;Fp Rosiner, 250 GR / Tyrkiet;2025-10-14;12.95;false;250;g;false;false;true
5766632523656;Premier Flødeis Lakrids, 750 ML / Danmark;2025-04-06;28.0;false;750;ml;false;false;true
7311311016073;S.M. Peber, Citron, 55 GR / Sverige;2025-11-12;14.0;false;55;g;false;false;true
5740700979187;COCA-COLA ZERO ZERO 24-PK, 792 CL / Danmark;2024-11-13;75.0;false;7920;ml;false;false;true
5701410415709;Gs Røget Laks I Skiver, 200 GR / Norge;2025-02-21;55.0;false;200;g;false;false;true
555;Pærer Confernce, 1 ST / Italien;2025-10-16;3.5;false;1;stk;false;false;true
5760466961059;Starbucks Caramel, 220 ML / Danmark;2025-10-18;10.0;false;220;ml;false;false;true
7311312006226;S.M. SALSA TOMATILLO, 155 GR / Irland;2024-02-10;15.0;false;155;g;false;false;true
5701090079338;Haribo Soda Straws Zourr, 90 GR / Spanien;2025-11-15;9.95;false;90;g;false;false;true
8711327373969;B&J Caramel Chew Chew, 465 ML / Holland;2025-09-06;35.0;false;465;ml;false;false;true
5701410409012;Gestus Møllehjul 7 Stk, 525 GR / Tyskland;2025-11-14;16.0;false;525;g;false;false;true
5000168203393;JB KIKS TIL OST, 300 GR / England;2024-04-27;25.0;false;300;g;false;false;true
7311311017391;Santa Maria Hvidløgpeber, 90 GR / Sverige;2025-10-08;25.0;false;90;g;false;false;true
5701410400699;Gestus Æbleskiver, 560 GR / Danmark;2025-11-10;21.95;false;560;g;false;false;true
5708636227574;Ørbæk Fynsk Jul 4,8% Øko, 50 CL / Danmark;2025-10-31;19.95;false;500;ml;false;true;true
8723400942245;Stimorol Peppermint Sf, 42 GR / Polen;2025-08-24;19.95;false;42;g;false;false;true
7312170029150;Semper Æble/Pæregrød 6 Md, 480 GR / Sverige;2025-11-11;49.95;false;480;g;false;false;true
569;ØKO-BANANER I PS, 7 _ / Den dominikanske rep;2023-12-13;17.0;false;7;_;false;true;true
7316710655083;Elastik Barn, 6 ST / Sverige;2025-10-24;24.95;false;6;stk;false;false;true
4000417622310;Ritter Sport Hvid/Lakrids, 100 GR / Tyskland;2025-02-11;22.95;false;100;g;false;false;true
8718951068377;Sanex Fm Defense Roll-On, 50 ML / Italien;2025-09-23;15.0;false;50;ml;false;false;true
5760932017587;SVANSØ HAVREMEL GLF ØKO, 1,4 GR / Danmark;2024-04-03;28.01;false;1.4;g;false;true;true
5701410409005;Gestus Hvedestykker 5 Stk, 450 GR / Tyskland;2025-11-14;16.0;false;450;g;false;false;true
8711327626386;B&J Cookies On Cookie Dou, 465 ML / Holland;2025-11-06;42.0;false;465;ml;false;false;true
7311311016059;S.M. KARRY, RØD, 38 GR / Estland;2024-02-11;15.0;false;38;g;false;false;true
5701302222361;Serviet Unicolor Gl Rose, 20 ST / Tyskland;2025-10-03;18.95;false;20;stk;false;false;true
5765228400043;Urt. Mayonnaise Øko, 300 ML / Holland;2025-02-05;33.96;false;300;ml;false;true;true
5701029023661;Koldskålscrunch 7-Morg Kk, 500 GR / Ukraine;2025-09-03;20.0;false;500;g;false;false;true
8713339151511;HN LIATRIS SPICATA BLUE, 1 ST / Holland;2024-06-03;19.98;false;1;stk;false;false;true
5715049106396;Lyskæde 40Led 195Cm, 1 ST / Kina;2025-11-14;19.95;false;1;stk;false;false;true
5701116015258;Svansø Pizzatopping, 190 GR / Danmark;2025-09-04;12.0;false;190;g;false;false;true
5900951307744;Perfect Fit Adult Kat M.Ky, 750 GR / Polen;2025-11-05;55.0;false;750;g;false;false;true
7316710391998;Strikkepinde 5Mm Rosa, 2 ST / Kina;2025-11-02;15.0;false;2;stk;false;false;true
8000500392133;Kinder Mini Eggs Hazelnut, 85 GR / Belgien;2025-04-20;20.0;false;85;g;false;false;true
5744002280941;Øko-Dadler, 400 GR / Iran;2025-08-13;27.2;false;400;g;false;true;true
5774540643007;Toms Blomster Mix Vingummi, 120 G / Danmark;2024-11-19;12.0;false;120;g;false;false;true
5707402011188;Refsvindinge Ale No.18 Øko, 50 CL / Danmark;2025-10-29;22.91;false;500;ml;false;true;true
